NAME 1,NAME 2
Hal Jordan / Green Lantern,Carol Ferris
Hal Jordan / Green Lantern,Hector Hammond
Hal Jordan / Green Lantern,Sinestro
Hal Jordan / Green Lantern,Hammond
Hal Jordan / Green Lantern,Tom Kalmaku
Hal Jordan / Green Lantern,Amanda Waller
Hal Jordan / Green Lantern,Jack Jordan
Hal Jordan / Green Lantern,Jason Jordan
Hal Jordan / Green Lantern,Abin Sur
Hal Jordan / Green Lantern,Tomar-Re
Hal Jordan / Green Lantern,Kilowog
Hal Jordan / Green Lantern,Parallax
Hal Jordan / Green Lantern,Carl Ferris
Hal Jordan / Green Lantern,Jim Jordan
Hal Jordan / Green Lantern,Martin Jordan
Hal Jordan / Green Lantern,Janice Jordan
Hal Jordan / Green Lantern,Bob Banks
Hal Jordan / Green Lantern,Four Star General Caven
Hal Jordan / Green Lantern,Jessica Jordan
Carol Ferris,Hector Hammond
Carol Ferris,Sinestro
Carol Ferris,Hammond
Carol Ferris,Tom Kalmaku
Carol Ferris,Amanda Waller
Carol Ferris,Jack Jordan
Carol Ferris,Jason Jordan
Carol Ferris,Abin Sur
Carol Ferris,Tomar-Re
Carol Ferris,Kilowog
Carol Ferris,Parallax
Carol Ferris,Carl Ferris
Carol Ferris,Jim Jordan
Carol Ferris,Martin Jordan
Carol Ferris,Janice Jordan
Carol Ferris,Bob Banks
Carol Ferris,Four Star General Caven
Carol Ferris,Jessica Jordan
Hector Hammond,Sinestro
Hector Hammond,Hammond
Hector Hammond,Tom Kalmaku
Hector Hammond,Amanda Waller
Hector Hammond,Jack Jordan
Hector Hammond,Jason Jordan
Hector Hammond,Abin Sur
Hector Hammond,Tomar-Re
Hector Hammond,Kilowog
Hector Hammond,Parallax
Hector Hammond,Carl Ferris
Hector Hammond,Jim Jordan
Hector Hammond,Martin Jordan
Hector Hammond,Janice Jordan
Hector Hammond,Bob Banks
Hector Hammond,Four Star General Caven
Hector Hammond,Jessica Jordan
Sinestro,Hammond
Sinestro,Tom Kalmaku
Sinestro,Amanda Waller
Sinestro,Jack Jordan
Sinestro,Jason Jordan
Sinestro,Abin Sur
Sinestro,Tomar-Re
Sinestro,Kilowog
Sinestro,Parallax
Sinestro,Carl Ferris
Sinestro,Jim Jordan
Sinestro,Martin Jordan
Sinestro,Janice Jordan
Sinestro,Bob Banks
Sinestro,Four Star General Caven
Sinestro,Jessica Jordan
Hammond,Tom Kalmaku
Hammond,Amanda Waller
Hammond,Jack Jordan
Hammond,Jason Jordan
Hammond,Abin Sur
Hammond,Tomar-Re
Hammond,Kilowog
Hammond,Parallax
Hammond,Carl Ferris
Hammond,Jim Jordan
Hammond,Martin Jordan
Hammond,Janice Jordan
Hammond,Bob Banks
Hammond,Four Star General Caven
Hammond,Jessica Jordan
Tom Kalmaku,Amanda Waller
Tom Kalmaku,Jack Jordan
Tom Kalmaku,Jason Jordan
Tom Kalmaku,Abin Sur
Tom Kalmaku,Tomar-Re
Tom Kalmaku,Kilowog
Tom Kalmaku,Parallax
Tom Kalmaku,Carl Ferris
Tom Kalmaku,Jim Jordan
Tom Kalmaku,Martin Jordan
Tom Kalmaku,Janice Jordan
Tom Kalmaku,Bob Banks
Tom Kalmaku,Four Star General Caven
Tom Kalmaku,Jessica Jordan
Amanda Waller,Jack Jordan
Amanda Waller,Jason Jordan
Amanda Waller,Abin Sur
Amanda Waller,Tomar-Re
Amanda Waller,Kilowog
Amanda Waller,Parallax
Amanda Waller,Carl Ferris
Amanda Waller,Jim Jordan
Amanda Waller,Martin Jordan
Amanda Waller,Janice Jordan
Amanda Waller,Bob Banks
Amanda Waller,Four Star General Caven
Amanda Waller,Jessica Jordan
Jack Jordan,Jason Jordan
Jack Jordan,Abin Sur
Jack Jordan,Tomar-Re
Jack Jordan,Kilowog
Jack Jordan,Parallax
Jack Jordan,Carl Ferris
Jack Jordan,Jim Jordan
Jack Jordan,Martin Jordan
Jack Jordan,Janice Jordan
Jack Jordan,Bob Banks
Jack Jordan,Four Star General Caven
Jack Jordan,Jessica Jordan
Jason Jordan,Abin Sur
Jason Jordan,Tomar-Re
Jason Jordan,Kilowog
Jason Jordan,Parallax
Jason Jordan,Carl Ferris
Jason Jordan,Jim Jordan
Jason Jordan,Martin Jordan
Jason Jordan,Janice Jordan
Jason Jordan,Bob Banks
Jason Jordan,Four Star General Caven
Jason Jordan,Jessica Jordan
Abin Sur,Tomar-Re
Abin Sur,Kilowog
Abin Sur,Parallax
Abin Sur,Carl Ferris
Abin Sur,Jim Jordan
Abin Sur,Martin Jordan
Abin Sur,Janice Jordan
Abin Sur,Bob Banks
Abin Sur,Four Star General Caven
Abin Sur,Jessica Jordan
Tomar-Re,Kilowog
Tomar-Re,Parallax
Tomar-Re,Carl Ferris
Tomar-Re,Jim Jordan
Tomar-Re,Martin Jordan
Tomar-Re,Janice Jordan
Tomar-Re,Bob Banks
