NAME 1,NAME 2
Bruce Wayne / Batman,Superman / Clark Kent
Bruce Wayne / Batman,Lois
Bruce Wayne / Batman,Lex Luthor
Bruce Wayne / Batman,Martha Kent
Bruce Wayne / Batman,Perry White
Bruce Wayne / Batman,Alfred
Bruce Wayne / Batman,Senator Finch
Bruce Wayne / Batman,Diana Prince / Wonder Woman
Bruce Wayne / Batman,Wallace Keefe
Bruce Wayne / Batman,Anatoli Knyazev
Bruce Wayne / Batman,Mercy Graves
Bruce Wayne / Batman,Young Bruce Wayne
Bruce Wayne / Batman,Martha Wayne
Bruce Wayne / Batman,Sage
Bruce Wayne / Batman,General Amajagh
Bruce Wayne / Batman,Jimmy Olsen
Bruce Wayne / Batman,Cesar Santos
Bruce Wayne / Batman,Jenny
Bruce Wayne / Batman,Swanwick
Bruce Wayne / Batman,Party Photographer
Bruce Wayne / Batman,Neil deGrasse Tyson
Bruce Wayne / Batman,James Harmon
Bruce Wayne / Batman,The Flash
Bruce Wayne / Batman,Jenet Klyburn
Bruce Wayne / Batman,Chairman of Joint Chiefs
Bruce Wayne / Batman,Jonathan Kent
Bruce Wayne / Batman,Adriana Santos
Bruce Wayne / Batman,Thomas Wayne
Bruce Wayne / Batman,Jack O' Dwyer
Bruce Wayne / Batman,Zod
Bruce Wayne / Batman,Kahina Ziri
Bruce Wayne / Batman,Senator Barrows
Bruce Wayne / Batman,Officer Mazzuccheli
Bruce Wayne / Batman,Officer Rucka
Bruce Wayne / Batman,Kent Shocknek
Bruce Wayne / Batman,Emmet Vale
Bruce Wayne / Batman,Major Farris
Bruce Wayne / Batman,Carmen
Bruce Wayne / Batman,Carmen's Mother
Bruce Wayne / Batman,Vikram Gandhi
Bruce Wayne / Batman,Andrew Sullivan
Bruce Wayne / Batman,Charlie Rose
Bruce Wayne / Batman,Glen Woodburn
Bruce Wayne / Batman,Soledad O'Brien
Bruce Wayne / Batman,Dana Bash
Bruce Wayne / Batman,McGraw (Finch's Aide)
Bruce Wayne / Batman,Senator Purrington
Bruce Wayne / Batman,Nancy Grace
Bruce Wayne / Batman,Aquaman
Bruce Wayne / Batman,Silas
Bruce Wayne / Batman,Cyborg
Bruce Wayne / Batman,Erika Erickson
Bruce Wayne / Batman,Anderson Cooper
Bruce Wayne / Batman,Brooke Baldwin
Bruce Wayne / Batman,Vice Chairman of Joint Chiefs
Bruce Wayne / Batman,Secretary of the Air Force
Bruce Wayne / Batman,Signals Officer - Air Force
Bruce Wayne / Batman,Father Leone
Bruce Wayne / Batman,Wagon Driver
Bruce Wayne / Batman,Pete Ross
Bruce Wayne / Batman,Lana
Bruce Wayne / Batman,Jon Stewart
Superman / Clark Kent,Lois
Superman / Clark Kent,Lex Luthor
Superman / Clark Kent,Martha Kent
Superman / Clark Kent,Perry White
Superman / Clark Kent,Alfred
Superman / Clark Kent,Senator Finch
Superman / Clark Kent,Diana Prince / Wonder Woman
Superman / Clark Kent,Wallace Keefe
Superman / Clark Kent,Anatoli Knyazev
Superman / Clark Kent,Mercy Graves
Superman / Clark Kent,Young Bruce Wayne
Superman / Clark Kent,Martha Wayne
Superman / Clark Kent,Sage
Superman / Clark Kent,General Amajagh
Superman / Clark Kent,Jimmy Olsen
Superman / Clark Kent,Cesar Santos
Superman / Clark Kent,Jenny
Superman / Clark Kent,Swanwick
Superman / Clark Kent,Party Photographer
Superman / Clark Kent,Neil deGrasse Tyson
Superman / Clark Kent,James Harmon
Superman / Clark Kent,The Flash
Superman / Clark Kent,Jenet Klyburn
Superman / Clark Kent,Chairman of Joint Chiefs
Superman / Clark Kent,Jonathan Kent
Superman / Clark Kent,Adriana Santos
Superman / Clark Kent,Thomas Wayne
Superman / Clark Kent,Jack O' Dwyer
Superman / Clark Kent,Zod
Superman / Clark Kent,Kahina Ziri
Superman / Clark Kent,Senator Barrows
Superman / Clark Kent,Officer Mazzuccheli
Superman / Clark Kent,Officer Rucka
Superman / Clark Kent,Kent Shocknek
Superman / Clark Kent,Emmet Vale
Superman / Clark Kent,Major Farris
Superman / Clark Kent,Carmen
Superman / Clark Kent,Carmen's Mother
Superman / Clark Kent,Vikram Gandhi
Superman / Clark Kent,Andrew Sullivan
Superman / Clark Kent,Charlie Rose
Superman / Clark Kent,Glen Woodburn
Superman / Clark Kent,Soledad O'Brien
Superman / Clark Kent,Dana Bash
Superman / Clark Kent,McGraw (Finch's Aide)
Superman / Clark Kent,Senator Purrington
Superman / Clark Kent,Nancy Grace
Superman / Clark Kent,Aquaman
Superman / Clark Kent,Silas
Superman / Clark Kent,Cyborg
Superman / Clark Kent,Erika Erickson
Superman / Clark Kent,Anderson Cooper
Superman / Clark Kent,Brooke Baldwin
Superman / Clark Kent,Vice Chairman of Joint Chiefs
Superman / Clark Kent,Secretary of the Air Force
Superman / Clark Kent,Signals Officer - Air Force
Superman / Clark Kent,Father Leone
Superman / Clark Kent,Wagon Driver
Superman / Clark Kent,Pete Ross
Superman / Clark Kent,Lana
Superman / Clark Kent,Jon Stewart
Lois,Lex Luthor
Lois,Martha Kent
Lois,Perry White
Lois,Alfred
Lois,Senator Finch
Lois,Diana Prince / Wonder Woman
Lois,Wallace Keefe
Lois,Anatoli Knyazev
Lois,Mercy Graves
Lois,Young Bruce Wayne
Lois,Martha Wayne
Lois,Sage
Lois,General Amajagh
Lois,Jimmy Olsen
Lois,Cesar Santos
Lois,Jenny
Lois,Swanwick
Lois,Party Photographer
Lois,Neil deGrasse Tyson
Lois,James Harmon
Lois,The Flash
Lois,Jenet Klyburn
Lois,Chairman of Joint Chiefs
Lois,Jonathan Kent
Lois,Adriana Santos
Lois,Thomas Wayne
Lois,Jack O' Dwyer
Lois,Zod
Lois,Kahina Ziri
Lois,Senator Barrows
Lois,Officer Mazzuccheli
Lois,Officer Rucka
Lois,Kent Shocknek
Lois,Emmet Vale
Lois,Major Farris
Lois,Carmen
Lois,Carmen's Mother
Lois,Vikram Gandhi
Lois,Andrew Sullivan
Lois,Charlie Rose
Lois,Glen Woodburn
Lois,Soledad O'Brien
Lois,Dana Bash
Lois,McGraw (Finch's Aide)
Lois,Senator Purrington
Lois,Nancy Grace
Lois,Aquaman
Lois,Silas
Lois,Cyborg
Lois,Erika Erickson
Lois,Anderson Cooper
Lois,Brooke Baldwin
Lois,Vice Chairman of Joint Chiefs
Lois,Secretary of the Air Force
Lois,Signals Officer - Air Force
Lois,Father Leone
Lois,Wagon Driver
Lois,Pete Ross
Lois,Lana
Lois,Jon Stewart
Lex Luthor,Martha Kent
Lex Luthor,Perry White
Lex Luthor,Alfred
Lex Luthor,Senator Finch
Lex Luthor,Diana Prince / Wonder Woman
Lex Luthor,Wallace Keefe
Lex Luthor,Anatoli Knyazev
Lex Luthor,Mercy Graves
Lex Luthor,Young Bruce Wayne
Lex Luthor,Martha Wayne
Lex Luthor,Sage
Lex Luthor,General Amajagh
Lex Luthor,Jimmy Olsen
Lex Luthor,Cesar Santos
Lex Luthor,Jenny
Lex Luthor,Swanwick
Lex Luthor,Party Photographer
Lex Luthor,Neil deGrasse Tyson
Lex Luthor,James Harmon
Lex Luthor,The Flash
Lex Luthor,Jenet Klyburn
Lex Luthor,Chairman of Joint Chiefs
Lex Luthor,Jonathan Kent
Lex Luthor,Adriana Santos
Lex Luthor,Thomas Wayne
Lex Luthor,Jack O' Dwyer
Lex Luthor,Zod
Lex Luthor,Kahina Ziri
Lex Luthor,Senator Barrows
Lex Luthor,Officer Mazzuccheli
Lex Luthor,Officer Rucka
Lex Luthor,Kent Shocknek
Lex Luthor,Emmet Vale
Lex Luthor,Major Farris
Lex Luthor,Carmen
Lex Luthor,Carmen's Mother
Lex Luthor,Vikram Gandhi
Lex Luthor,Andrew Sullivan
Lex Luthor,Charlie Rose
Lex Luthor,Glen Woodburn
Lex Luthor,Soledad O'Brien
Lex Luthor,Dana Bash
Lex Luthor,McGraw (Finch's Aide)
Lex Luthor,Senator Purrington
Lex Luthor,Nancy Grace
Lex Luthor,Aquaman
Lex Luthor,Silas
Lex Luthor,Cyborg
Lex Luthor,Erika Erickson
Lex Luthor,Anderson Cooper
Lex Luthor,Brooke Baldwin
Lex Luthor,Vice Chairman of Joint Chiefs
Lex Luthor,Secretary of the Air Force
Lex Luthor,Signals Officer - Air Force
Lex Luthor,Father Leone
Lex Luthor,Wagon Driver
Lex Luthor,Pete Ross
Lex Luthor,Lana
Lex Luthor,Jon Stewart
