NAME 1,NAME 2
Deadshot,Sergeant Ames Bravo 14
Deadshot,Griggs
Deadshot,Harley Quinn
Deadshot,T-Shirt Vendor
Deadshot,Amanda Waller
Deadshot,Dexter Tolliver
Deadshot,Angelo
Deadshot,Mafia Snitch
Deadshot,Zoe
Deadshot,The Joker
Deadshot,Panda Man
Deadshot,Frost
Deadshot,Monster T
Deadshot,George Harkness / Captain Boomerang
Deadshot,The Flash
Deadshot,Diablo
Deadshot,Killer Croc
Deadshot,June Moone / Enchantress
Deadshot,Rick Flag
Deadshot,Dr. Van Chris
Deadshot,Dr. Van Criss' Wife
Deadshot,Lieutenant GQ Edwards
Deadshot,Kowalski - Seal Team A
Deadshot,Gomez - Seal Team A
Deadshot,Slipknot
Deadshot,Katana
Deadshot,Grace - Diablo's Wife
Deadshot,Diablo's Daughter
Deadshot,Diablo's Son
Deadshot,Bruce Wayne / Batman
Deadshot,Seals' Admiral Burns
Deadshot,Admiral Olsen
Sergeant Ames Bravo 14,Griggs
Sergeant Ames Bravo 14,Harley Quinn
Sergeant Ames Bravo 14,T-Shirt Vendor
Sergeant Ames Bravo 14,Amanda Waller
Sergeant Ames Bravo 14,Dexter Tolliver
Sergeant Ames Bravo 14,Angelo
Sergeant Ames Bravo 14,Mafia Snitch
Sergeant Ames Bravo 14,Zoe
Sergeant Ames Bravo 14,The Joker
Sergeant Ames Bravo 14,Panda Man
Sergeant Ames Bravo 14,Frost
Sergeant Ames Bravo 14,Monster T
Sergeant Ames Bravo 14,George Harkness / Captain Boomerang
Sergeant Ames Bravo 14,The Flash
Sergeant Ames Bravo 14,Diablo
Sergeant Ames Bravo 14,Killer Croc
Sergeant Ames Bravo 14,June Moone / Enchantress
Sergeant Ames Bravo 14,Rick Flag
Sergeant Ames Bravo 14,Dr. Van Chris
Sergeant Ames Bravo 14,Dr. Van Criss' Wife
Sergeant Ames Bravo 14,Lieutenant GQ Edwards
Sergeant Ames Bravo 14,Kowalski - Seal Team A
Sergeant Ames Bravo 14,Gomez - Seal Team A
Sergeant Ames Bravo 14,Slipknot
Sergeant Ames Bravo 14,Katana
Sergeant Ames Bravo 14,Grace - Diablo's Wife
Sergeant Ames Bravo 14,Diablo's Daughter
Sergeant Ames Bravo 14,Diablo's Son
Sergeant Ames Bravo 14,Bruce Wayne / Batman
Sergeant Ames Bravo 14,Seals' Admiral Burns
Sergeant Ames Bravo 14,Admiral Olsen
Griggs,Harley Quinn
Griggs,T-Shirt Vendor
Griggs,Amanda Waller
Griggs,Dexter Tolliver
Griggs,Angelo
Griggs,Mafia Snitch
Griggs,Zoe
Griggs,The Joker
