CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Bruce Wayne / Batman,DC,The Dark Knight,14-Jul-08,good,male,human hero,short,y
Joker,DC,The Dark Knight,14-Jul-08,bad,male,human hero,long,n
Harvey Dent,DC,The Dark Knight,14-Jul-08,change,male,human hero,short,n
Alfred,DC,The Dark Knight,14-Jul-08,good,male,human,short,n
Rachel,DC,The Dark Knight,14-Jul-08,good,female,human,long,n
Commissioner Gordon,DC,The Dark Knight,14-Jul-08,good,male,human,short,y
Fox,DC,The Dark Knight,14-Jul-08,good,male,human,short,y
Ramirez,DC,The Dark Knight,14-Jul-08,good,female,human,long,n
Wuertz,DC,The Dark Knight,14-Jul-08,good,male,human,short,n
Dr. Jonathan Crane / Scarecrow,DC,The Dark Knight,14-Jul-08,bad,male,human hero,short,n
Lau,DC,The Dark Knight,14-Jul-08,bad,male,human,short,n
Maroni,DC,The Dark Knight,14-Jul-08,bad,male,human,short,n
Chechen,DC,The Dark Knight,14-Jul-08,bad,male,human,long,y
Mike Engel,DC,The Dark Knight,14-Jul-08,good,male,human,short,n
Stephens,DC,The Dark Knight,14-Jul-08,good,male,human,short,n
Loeb,DC,The Dark Knight,14-Jul-08,good,male,human,bald,n
Reese,DC,The Dark Knight,14-Jul-08,good,male,human,short,n
Barbara Gordon,DC,The Dark Knight,14-Jul-08,good,female,human,short,n
"James Gordon, Jr.",DC,The Dark Knight,14-Jul-08,good,male,human,short,n
Rossi,DC,The Dark Knight,14-Jul-08,bad,male,human,short,n
Dopey,DC,The Dark Knight,14-Jul-08,bad,male,human,short,n
Happy,DC,The Dark Knight,14-Jul-08,bad,male,human,short,n
Grumpy,DC,The Dark Knight,14-Jul-08,bad,male,human,short,n
Gambol,DC,The Dark Knight,14-Jul-08,bad,male,human,short,y
Chuckles,DC,The Dark Knight,14-Jul-08,bad,male,human,short,n
Natascha,DC,The Dark Knight,14-Jul-08,good,female,human,long,n
Judge Surrillo,DC,The Dark Knight,14-Jul-08,good,female,human,short,n
Brian,DC,The Dark Knight,14-Jul-08,good,male,human,short,n
Judge Freel,DC,The Dark Knight,14-Jul-08,good,male,human,short,y
Murphy,DC,The Dark Knight,14-Jul-08,good,male,human,short,n
Polk,DC,The Dark Knight,14-Jul-08,good,male,human,short,n
Berg,DC,The Dark Knight,14-Jul-08,good,male,human,short,n
Evans,DC,The Dark Knight,14-Jul-08,bad,male,human,bald,y
