NAME 1,NAME 2
Arthur Curry / Aquaman,Mera
Arthur Curry / Aquaman,Queen Atlanna
Arthur Curry / Aquaman,Orm / Ocean Master
Arthur Curry / Aquaman,Nuidis Vulko
Arthur Curry / Aquaman,David Kane / Black Manta
Arthur Curry / Aquaman,Thomas Curry
Arthur Curry / Aquaman,King Nereus
Arthur Curry / Aquaman,Dr. Stephen Shin
Arthur Curry / Aquaman,Jesse Kane
Arthur Curry / Aquaman,Murk
Mera,Queen Atlanna
Mera,Orm / Ocean Master
Mera,Nuidis Vulko
Mera,David Kane / Black Manta
Mera,Thomas Curry
Mera,King Nereus
Mera,Dr. Stephen Shin
Mera,Jesse Kane
Mera,Murk
Queen Atlanna,Orm / Ocean Master
Queen Atlanna,Nuidis Vulko
Queen Atlanna,David Kane / Black Manta
Queen Atlanna,Thomas Curry
Queen Atlanna,King Nereus
Queen Atlanna,Dr. Stephen Shin
Queen Atlanna,Jesse Kane
Queen Atlanna,Murk
Orm / Ocean Master,Nuidis Vulko
Orm / Ocean Master,David Kane / Black Manta
Orm / Ocean Master,Thomas Curry
Orm / Ocean Master,King Nereus
Orm / Ocean Master,Dr. Stephen Shin
Orm / Ocean Master,Jesse Kane
Orm / Ocean Master,Murk
Nuidis Vulko,David Kane / Black Manta
Nuidis Vulko,Thomas Curry
Nuidis Vulko,King Nereus
Nuidis Vulko,Dr. Stephen Shin
Nuidis Vulko,Jesse Kane
Nuidis Vulko,Murk
David Kane / Black Manta,Thomas Curry
David Kane / Black Manta,King Nereus
David Kane / Black Manta,Dr. Stephen Shin
David Kane / Black Manta,Jesse Kane
David Kane / Black Manta,Murk
Thomas Curry,King Nereus
Thomas Curry,Dr. Stephen Shin
Thomas Curry,Jesse Kane
Thomas Curry,Murk
King Nereus,Dr. Stephen Shin
King Nereus,Jesse Kane
King Nereus,Murk
Dr. Stephen Shin,Jesse Kane
Dr. Stephen Shin,Murk
Jesse Kane,Murk
